name,Economic Activity,Emission value,total_emission_mt,categories,confidence,num_categories
Aluminum Starch Octenylsuccinate,plant starch modification,0.065455352,2.356392660993194,"Fuel Production, Ammonia Production, Caprolactam, Glyoxal and Glyoxylic Acid Production, Carbide Production, Nitric Acid Production, Soda Ash Production, Titanium Dioxide Production, Aluminium Production, Ferroalloys Production, Iron and Steel Production, Lead Production, Zinc Production, Cement Production, Glass Production, Lime Production, Non Metallurgical Magnesia Production, Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Rapeseed and Mustard, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,36
Aminopropyl Ascorbyl Phosphate,synthetic vitamin derivative,0.12239017403580994,0.36717052210742984,"Enteric Fermentation, Aviation , Natural Gas and its derivatives",medium,3
Ammonium,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer,synthetic polymer,0.354514694,1.0635440816326531,"Chemicals & fertilisers, Ethylene, Carbon Black",high,3
Ammonium Acryloyldimethyltaurate/VP Copolymer,synthetic polymer,0.354514694,1.0635440816326531,"Chemicals & fertilisers, Ethylene, Carbon Black",high,3
Ammonium Polyacryloyldimethyl Taurate,synthetic polymer,0.354514694,1.0635440816326531,"Chemicals & fertilisers, Ethylene, Carbon Black",high,3
Amodimethicone,synthetic silicone,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Anhydroxylitol,plant sugar derivative,-0.150332626,-3.307317769,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Sugar, Upland, Sugarcane, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Natural Gas and its derivatives",medium,22
Anthemis Nobilis Flower Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aphanizomenon Flos-Aquae Extract,freshwater algae,-0.686553912,-3.432769559,"Forest Land, Biomass Burning in Forest Land, Deep Water , Forest Land Remaining Forest Land and Land Converted to Forest Land, Forest Land Converted to Cropland",medium,5
Arabidopsis Thaliana Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Arbutin,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Argania Spinosa Kernel Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Arginine,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Artemia Extract,marine crustacean,0.009186213,0.055117278,"Carbide Production, Manure Management, Rainfed Drought Prone, Rainfed Flood Prone , Maize, Machinery",medium,6
Ascorbic Acid,synthetic vitamin,0.14825079365079366,0.2965015873015873,"Enteric Fermentation, Aviation ",medium,2
Ascorbyl Palmitate,synthetic vitamin derivative,0.12239017403580994,0.36717052210742984,"Enteric Fermentation, Aviation , Natural Gas and its derivatives",medium,3
Ascorbyl Tocopheryl Maleate,synthetic vitamin derivative,0.12239017403580994,0.36717052210742984,"Enteric Fermentation, Aviation , Natural Gas and its derivatives",medium,3
Aspalathus Linearis Leaf Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Aspartic Acid,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Astragalus Membranaceus Root Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Astrocaryum Murumuru Seed Butter,plant butter,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
Butyl Methoxydibenzoylmethane,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Azelaic Acid,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Bacillus Ferment,bacterial fermentation,0.3469173630334454,3.1222562673010086,"Commercial, Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Natural gas, Natural Gas and its derivatives",medium,9
Behenyl Alcohol,plant fatty alcohol,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
Bentonite,mineral clay,0,0,Machinery,medium,1
Benzophenone-3,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Benzoyl Peroxide,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Benzyl Alcohol,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Benzyl Benzoate,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Benzyl Salicylate,synthetic fragrance compound,0.034685379,0.10405613613704343,"Chemicals & fertilisers, Petroleum, Industries",high,3
Beta-Carotene,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Beta Vulgaris Root Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Betaine,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
BHT,synthetic antioxidant,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Bifida Ferment Filtrate,bacterial fermentation,0.3469173630334454,3.1222562673010086,"Commercial, Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Natural gas, Natural Gas and its derivatives",medium,9
Bifida Ferment Lysate,bacterial fermentation,0.3469173630334454,3.1222562673010086,"Commercial, Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Natural gas, Natural Gas and its derivatives",medium,9
Biotin,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Bis (Tripeptide-1) Copper Acetate,synthetic peptide,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Bisabolol,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Boswellia Serrata Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Brassica Oleracea Capitata Leaf Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Butylene Glycol,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Butyrospermum Parkii Butter Extract,plant butter,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
C1-8 Alkyl Tetrahydroxycyclohexanoate,synthetic fatty acid derivative,0.094954988,0.37981995067885843,"Caprolactam, Glyoxal and Glyoxylic Acid Production, Nitric Acid Production, Enteric Fermentation, Natural Gas and its derivatives",medium,4
C11-15 Pareth-7,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
C12-13 Pareth-23,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
C12-13 Pareth-3,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
C12-14 Pareth-12,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
C12-15 Alkyl Benzoate,synthetic ester,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
C12-20 Alkyl Glucoside,plant sugar derivative,-0.150332626,-3.307317769,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Sugar, Upland, Sugarcane, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Natural Gas and its derivatives",medium,22
C13-14 Isoparaffin,petroleum derivative,0.074078513,0.22223553774809063,"Petroleum, Fuel Production, Industries",high,3
C14-22 Alcohols,plant fatty alcohol,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
Caesalpinia Spinosa Gum,plant gum,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
Caffeine,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Calcium Sodium Borosilicate,mineral processing,0.000140789,0.000563158,"Other Process Uses of Carbonates, Fish processing, Food Processing, Beverages and Tobacco, Machinery",medium,4
Calendula Officinalis Flower Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Calophyllum Inophyllum Seed Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Camellia Japonica Flower Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Camellia Oleifera Leaf Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Camellia Sinensis Leaf Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Caprylic/Capric/Myristic/Stearic Triglyceride,plant oil derivative,-0.128626888,-2.958418424,"Biomass Burning in Cropland, Agriculture Soils, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Furnace Oil, Oil, Natural Gas and its derivatives",medium,23
Caprylic/Capric Triglyceride,plant oil derivative,-0.128626888,-2.958418424,"Biomass Burning in Cropland, Agriculture Soils, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Furnace Oil, Oil, Natural Gas and its derivatives",medium,23
Caprylyl/Capryl Glucoside,plant sugar derivative,-0.150332626,-3.307317769,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Sugar, Upland, Sugarcane, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Natural Gas and its derivatives",medium,22
Caprylyl Glycol,synthetic chemical,0.06526233,0.261049321,"Ceramics, Enteric Fermentation, Chemicals & fertilisers, Charcoal",medium,4
Carbomer,synthetic polymer,0.354514694,1.0635440816326531,"Chemicals & fertilisers, Ethylene, Carbon Black",high,3
Castor Oil/IPDI Copolymer,plant oil derivative,-0.128626888,-2.958418424,"Biomass Burning in Cropland, Agriculture Soils, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Furnace Oil, Oil, Natural Gas and its derivatives",medium,23
Centella Asiatica Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Cera Alba,animal wax,1.2322977040816327,2.4645954081632655,"Ammonia Production, Paraffin Wax Use",medium,2
Ceramide EOP,synthetic ceramide,0.11337784043441938,0.45351136173767753,"Carbide Production, Ethylene Dichloride and Vinyl Chloride Monomer, Ceramics, Enteric Fermentation",medium,4
Ceramide AP,synthetic ceramide,0.11337784043441938,0.45351136173767753,"Carbide Production, Ethylene Dichloride and Vinyl Chloride Monomer, Ceramics, Enteric Fermentation",medium,4
Ceramide AS,synthetic ceramide,0.11337784043441938,0.45351136173767753,"Carbide Production, Ethylene Dichloride and Vinyl Chloride Monomer, Ceramics, Enteric Fermentation",medium,4
Ceramide NP,synthetic ceramide,0.11337784043441938,0.45351136173767753,"Carbide Production, Ethylene Dichloride and Vinyl Chloride Monomer, Ceramics, Enteric Fermentation",medium,4
Ceteareth-20,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
Ceteareth-60 Myristyl Glycol,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
Cetearyl Alcohol,plant fatty alcohol,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
Cetearyl Olivate,plant oil derivative,-0.128626888,-2.958418424,"Biomass Burning in Cropland, Agriculture Soils, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land, Furnace Oil, Oil, Natural Gas and its derivatives",medium,23
Ceteth-10 Phosphate,synthetic surfactant,0.10802370370370369,0.3240711111111111,"Lubricant Use, Enteric Fermentation, Sugarcane",medium,3
Cetraria Islandica Thallus Extract,lichen extract,0.097943875,0.29383162453753187,"Industries, Chemicals & fertilisers, Transport",medium,3
Cetyl Alcohol,plant fatty alcohol,-0.177842429,-3.379006148,"Biomass Burning in Cropland, Forest Land, Biomass Burning in Forest Land, Cropland, Other Land, Upland, Forest Land Remaining Forest Land and Land Converted to Forest Land, Cropland Remaining Cropland, Cropland Plantations Remaining Cropland Plantations, Forest Land Converted to Cropland, Other Land Converted to Cropland, Other Land Converted to Cropland Plantations, Other Land Converted to Grassland, Cropland Converted to Settlements, Other Land Converted to Settlements, Other Land Remaining Other Land, Cropland Converted to Other Land, Grassland Converted to Other Land, Settlement Converted to Other Land",medium,19
Cetyl Lactate,synthetic ester,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Cetyl Palmitate,synthetic ester,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Cetyl PEG/PPG-10/1 Dimethicone,synthetic silicone,0.24824444444444446,0.24824444444444446,Enteric Fermentation,medium,1
Chamomilla Recutita Flower Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Chamomilla Recutita Flower Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Chlorella Vulgaris Extract,freshwater algae,-0.686553912,-3.432769559,"Forest Land, Biomass Burning in Forest Land, Deep Water , Forest Land Remaining Forest Land and Land Converted to Forest Land, Forest Land Converted to Cropland",medium,5
Chlorphenesin,synthetic preservative,0.052028068,0.10405613613704343,"Chemicals & fertilisers, Industries",high,2
Cholesterol,animal fat derivative,0.9649005292890224,2.894701587867067,"Ammonia Production, Natural Gas and its derivatives, ATF ",medium,3
Chondrus Crispus Extract,marine algae,0.009186213,0.055117278,"Carbide Production, Manure Management, Rainfed Drought Prone, Rainfed Flood Prone , Maize, Machinery",medium,6
Ci 77491,mineral pigment,0.6097483766233767,1.82924513,"Cement Production, Machinery, Pulp, Paper and Print",medium,3
Ci 77492,mineral pigment,0.6097483766233767,1.82924513,"Cement Production, Machinery, Pulp, Paper and Print",medium,3
Ci 77499,mineral pigment,0.6097483766233767,1.82924513,"Cement Production, Machinery, Pulp, Paper and Print",medium,3
Ci 77891,mineral pigment,0.6097483766233767,1.82924513,"Cement Production, Machinery, Pulp, Paper and Print",medium,3
Citral,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Citric Acid,microbial fermentation,1.1513878122192027,10.362490309972825,"Public Electricity Generation, Enteric Fermentation, Intermittent Multiple Aeration, Intermittent Single Aeration, Cropland Plantations Remaining Cropland Plantations, Other Land Converted to Cropland Plantations, Coal -OC, Coal, Coal and Lignite",medium,9
Citronellol,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Citrullus Lanatus Fruit Extract,plant extract,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Citrus Aurantium Bergamia Fruit Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
Citrus Aurantium Bergamia Peel Oil,plant oil,0.079509909,0.23852972845267367,"Agriculture, Food Processing, Beverages and Tobacco, Transport",high,3
